Location ,Lat,Long,Year,Max,,
"Abisko area, Sweden   ",68.33333,18.83333,1978,85,,
"Abisko area, Sweden   ",68.33333,18.83333,1979,111,,
"Abisko area, Sweden   ",68.33333,18.83333,1980,121,,
"Abisko area, Sweden   ",68.33333,18.83333,1981,95,,
"Abisko area, Sweden   ",68.33333,18.83333,1982,90,,
"Abisko area, Sweden   ",68.33333,18.83333,1983,95,,
"Abisko area, Sweden   ",68.33333,18.83333,1984,96,,
"Abisko area, Sweden   ",68.33333,18.83333,1985,109,,
"Abisko area, Sweden   ",68.33333,18.83333,1986,115,,
"Abisko area, Sweden   ",68.33333,18.83333,1987,98,,
"Abisko area, Sweden   ",68.33333,18.83333,1988,112,,
"Abisko area, Sweden   ",68.33333,18.83333,1989,109,,
"Abisko area, Sweden   ",68.33333,18.83333,1990,118,,
"Abisko area, Sweden   ",68.33333,18.83333,1991,109,,
"Abisko area, Sweden   ",68.33333,18.83333,1992,99,,
"Abisko area, Sweden   ",68.33333,18.83333,1993,96,,
"Abisko area, Sweden   ",68.33333,18.83333,1994,98,,
"Abisko area, Sweden   ",68.33333,18.83333,1995,97,,
"Abisko area, Sweden   ",68.33333,18.83333,1996,103,,
"Abisko area, Sweden   ",68.33333,18.83333,1997,110,,
"Abisko area, Sweden   ",68.33333,18.83333,1998,128,,
"Abisko area, Sweden   ",68.33333,18.83333,1999,105,,
"Abisko area, Sweden   ",68.33333,18.83333,2000,125.7,,
"Abisko area, Sweden   ",68.33333,18.83333,2001,127.5,,
"Abisko area, Sweden   ",68.33333,18.83333,2002,129.5,,
"Abisko area, Sweden   ",68.33333,18.83333,2003,82.25,,
"Abisko area, Sweden   ",68.33333,18.83333,2004,85,,
"Abisko area, Sweden   ",68.33333,18.83333,2005,83,,
"Abisko area, Sweden   ",68.33333,18.83333,2006,85,,
"Abisko area, Sweden   ",68.33333,18.83333,2007,131,,
"Abisko area, Sweden   ",68.33333,18.83333,2008,130,,
"Abisko area, Sweden   ",68.33333,18.83333,2009,81.83,,
"Abisko area, Sweden   ",68.33333,18.83333,2010,80,,
"Abisko area, Sweden   ",68.33333,18.83333,2011,132,,
"Abisko area, Sweden   ",68.33333,18.83333,2012,73,,
"Abisko area, Sweden   ",68.33333,18.83333,2013,80,,
"Abisko area, Sweden   ",68.33333,18.83333,2014,110,,
"Abisko area, Sweden   ",68.33333,18.83333,2015,122,,
"Abisko area, Sweden   ",68.33333,18.83333,2016,132,,
"Abisko area, Sweden   ",68.33333,18.83333,2017,142,,
"Abisko area, Sweden   ",68.33333,18.83333,2018,146,,
"Abisko area, Sweden   ",68.33333,18.83333,2019,150,,
"Abisko area, Sweden   ",68.33333,18.83333,2020,150,,
"Abisko area, Sweden   ",68.33333,18.83333,2021,150,,
"Abisko area, Sweden   ",68.33333,18.83333,2022,115,,
"Abisko area, Sweden   ",68.33333,18.83333,2023,120,,
Akhmelo channel; Kolyma,68.81667,161,1996,67,,
Akhmelo channel; Kolyma,68.81667,161,1997,,,
Akhmelo channel; Kolyma,68.81667,161,1998,83,,
Akhmelo channel; Kolyma,68.81667,161,1999,,,
Akhmelo channel; Kolyma,68.81667,161,2000,69,,
Akhmelo channel; Kolyma,68.81667,161,2001,73,,
Akhmelo channel; Kolyma,68.81667,161,2002,67,,
Akhmelo channel; Kolyma,68.81667,161,2003,91,,
Akhmelo channel; Kolyma,68.81667,161,2004,81,,
Akhmelo channel; Kolyma,68.81667,161,2005,75,,
Akhmelo channel; Kolyma,68.81667,161,2006,97,,
Akhmelo channel; Kolyma,68.81667,161,2007,100,,
Akhmelo channel; Kolyma,68.81667,161,2008,96,,
Akhmelo channel; Kolyma,68.81667,161,2009,73,,
Akhmelo channel; Kolyma,68.81667,161,2010,77,,
Akhmelo channel; Kolyma,68.81667,161,2011,90,,
Akhmelo channel; Kolyma,68.81667,161,2012,73,,
Akhmelo channel; Kolyma,68.81667,161,2013,77,,
Akhmelo channel; Kolyma,68.81667,161,2014,78,,
