site_id,lat,lon,n_observations,n_after_gapfill,n_interpolated,gap_fill_method,span_years,completeness,max_gap_spacing,year_min,year_max,mean_alt,median_alt,std_alt,class_classification,class_confidence,class_p_rapid_thickening,class_p_gradual_thickening,class_p_thickening,class_p_no_trend,class_p_gradual_thinning,class_p_rapid_thinning,class_p_thinning,class_flag_significant,class_flag_low_power,class_evidence,trend_sen_slope,trend_mk_pvalue,trend_mk_z,trend_sen_ci_lower,trend_sen_ci_upper,trend_sen_ci_excludes_zero,trend_min_meaningful_slope,trend_min_slope_residual,trend_min_slope_bootstrap,trend_quant_floor,trend_trend_significant,trend_slope_meaningful,trend_has_longterm_direction,trend_low_power,trend_n_years,trend_span_years,rev_early_sen_slope,rev_early_ci_lower,rev_early_ci_upper,rev_early_ci_excludes_zero,rev_recent_sen_slope,rev_recent_ci_lower,rev_recent_ci_upper,rev_recent_ci_excludes_zero,rev_recent_direction,rev_reversal,rev_early_n,rev_recent_n,MainRegion
61.67758230_8.36930570,61.6775823,8.3693057,25,26,1,pchip,26,0.961538461538462,2,1999,2024,228.230769230769,231.5,14.8574767502633,gradual_thickening,high,0.149,0.549,0.698,0.247,0.051,0.004,0.055,True,False,Sen=1.111 cm/yr; SIG,1.11111111111111,0.0814365168158799,1.74241120399274,-0.415,1.6025,False,0.633323529411765,0.196524768221085,0.633323529411765,0.0288461538461538,True,True,True,False,26,26,3,-8.5,7.58333333333333,False,-0.25,-1,0.666666666666667,False,0,False,7,7,Scandinavia
61.88778000_-121.60170000,61.88778,-121.6017,10,10,0,none,10,1,1,1999,2008,124,120,5.16397779494322,no_trend,moderate,0.193,0.165,0.358,0.641,0,0.001,0.001,True,True,Sen=0.000 cm/yr; SIG; LOW_PWR,0,0.0917480714039338,1.68624784798279,0,2,False,0.926625,0.268741924943285,0.926625,0.5,True,False,False,True,10,10,0,0,0,False,0,-7.5,5,False,0,False,5,5,Canada
62.01330000_129.65683000,62.0133,129.65683,16,16,0,none,16,1,1,2008,2023,222.25,222.5,3.27617663341483,gradual_thickening,high,0.008,0.93,0.938,0.061,0.001,0,0.001,True,False,Sen=0.613 cm/yr; SIG,0.6125,0.089022795957707,1.70057513820442,0.25,1,True,0.09884,0.0595665768978991,0.09884,0.03125,True,True,True,False,16,16,0.666666666666667,0.333333333333333,1.75,True,0.75,0.570833333333333,1.75,True,1,False,7,7,Russia
62.29580000_9.35200000,62.2958,9.352,17,18,1,pchip,23,0.739130434782609,6,2002,2024,555.781194771162,540,75.74230205704,rapid_thickening,high,1,0,1,0,0,0,0,True,False,Sen=5.778 cm/yr; SIG,5.77777777777778,0.0345580656460751,2.11349917387696,3.16666666666667,11.9963820070048,True,0.189521025870481,0.189521025870481,1.70654078355005,0.108695652173913,True,True,True,False,18,23,5.5,1,12.938494119081,True,31.4,3,40.6666666666667,True,1,False,7,7,Scandinavia
62.31618000_129.49952000,62.31618,129.49952,16,16,0,none,16,1,1,2008,2023,149.75,148,4.78191035744781,no_trend,high,0.07,0.478,0.548,0.36,0.072,0.02,0.092,True,False,Sen=0.160 cm/yr; SIG,0.16025641025641,0.0148832775656629,2.43520688199987,-0.828819444444444,1.50833333333333,False,0.119483947417535,0.119483947417535,0.55068,0.03125,True,True,True,False,16,16,0,-1.25,2.66666666666667,False,2,-2.5,4,False,0,False,7,7,Russia
62.69667000_-123.06500000,62.69667,-123.065,8,8,0,none,8,1,1,2001,2008,125,125,5.34522483824849,gradual_thickening,low,0.317,0.087,0.404,0.585,0,0.011,0.011,False,True,Sen=0.714 cm/yr; LOW_PWR,0.714285714285714,0.112351197690464,1.58771324027147,0,3.33333333333333,False,1.2355,2.81867174467887e-15,1.2355,0.625,False,False,False,True,8,8,NaN,NaN,NaN,False,NaN,NaN,NaN,False,0,False,0,0,Canada
64.56667000_177.20000000,64.56667,177.2,27,28,1,pchip,28,0.964285714285714,2,1996,2023,87.9943181818182,89,8.02893933770724,gradual_thickening,high,0.048,0.648,0.696,0.209,0.092,0.003,0.095,True,False,Sen=0.357 cm/yr; SIG,0.357142857142857,0.0907712422724809,1.69134336489293,-0.560064935064935,1.26193181818182,False,0.25416,0.070529672800019,0.25416,0.0178571428571429,True,True,True,False,28,28,0.333333333333333,-1,1.5,False,-1,-2,-0.416666666666667,True,-1,False,7,7,Russia
64.63333000_176.96670000,64.63333,176.9667,14,14,0,none,14,1,1,2010,2023,79,78.5,5.42075782383011,gradual_thinning,low,0.007,0.01,0.017,0.28,0.602,0.101,0.703,False,False,Sen=-0.333 cm/yr,-0.333333333333333,0.267082162065991,-1.10980709321968,-1.5025,0.25,False,0.59304,0.231280970251378,0.59304,0.0357142857142857,False,False,False,False,14,14,1.25,-3,2.5,False,0.25,-3,1.81999999999998,False,0,False,7,7,Russia
64.71444440_-148.14527780,64.7144444,-148.1452778,34,35,1,pchip,35,0.971428571428571,2,1990,2024,156.243521403969,94,113.99429859605,rapid_thickening,high,0.969,0.02,0.989,0.01,0,0.001,0.001,True,False,Sen=8.792 cm/yr; SIG,8.79166666666667,0.0504636317783997,1.95601292303139,1.66666666666667,17.905,True,0.164296301107955,0.164296301107955,4.50990603154305,0.0714285714285714,True,True,True,False,35,35,5.75,-13.5,6.7538748564868,False,17.4,17.4,21.5,True,1,False,7,7,Alaska
64.77770000_-141.10954000,64.7777,-141.10954,10,11,1,pchip,11,0.909090909090909,2,2009,2019,88.4318181818182,90,13.1719830080226,no_trend,low,0.351,0.044,0.395,0.449,0.08,0.076,0.156,False,True,Sen=0.000 cm/yr; LOW_PWR,0,0.670467179794389,0.425506917706471,-2,5,False,1.2355,0.323645357113878,1.2355,0.198863636363636,False,False,False,True,11,11,0,-20,21.5,False,5,-1,6.25,False,0,False,5,5,Alaska
